benchmark,size,backend,run,timestamp,compile_time_seconds,status,error
biometric,"D: 4, N: 512",motion,1,2026-04-22T12:03:38Z,0.204597,ok,
biometric,"D: 4, N: 512",motion,2,2026-04-22T12:03:38Z,0.187663,ok,
biometric,"D: 4, N: 512",motion,3,2026-04-22T12:03:38Z,0.191490,ok,
biometric,"D: 4, N: 512",motion,4,2026-04-22T12:03:38Z,0.190939,ok,
biometric,"D: 4, N: 512",motion,5,2026-04-22T12:03:38Z,0.208555,ok,
biometric,"D: 4, N: 512",motion,6,2026-04-22T12:03:39Z,0.191376,ok,
biometric,"D: 4, N: 512",motion,7,2026-04-22T12:03:39Z,0.185121,ok,
biometric,"D: 4, N: 512",motion,8,2026-04-22T12:03:39Z,0.199704,ok,
biometric,"D: 4, N: 512",motion,9,2026-04-22T12:03:39Z,0.184803,ok,
biometric,"D: 4, N: 512",motion,10,2026-04-22T12:03:39Z,0.181808,ok,
biometric,"D: 4, N: 512",mp_spdz,1,2026-04-22T12:03:39Z,0.197657,ok,
biometric,"D: 4, N: 512",mp_spdz,2,2026-04-22T12:03:40Z,0.206350,ok,
biometric,"D: 4, N: 512",mp_spdz,3,2026-04-22T12:03:40Z,0.194485,ok,
biometric,"D: 4, N: 512",mp_spdz,4,2026-04-22T12:03:40Z,0.198953,ok,
biometric,"D: 4, N: 512",mp_spdz,5,2026-04-22T12:03:40Z,0.202645,ok,
biometric,"D: 4, N: 512",mp_spdz,6,2026-04-22T12:03:40Z,0.219138,ok,
biometric,"D: 4, N: 512",mp_spdz,7,2026-04-22T12:03:41Z,0.197675,ok,
biometric,"D: 4, N: 512",mp_spdz,8,2026-04-22T12:03:41Z,0.201588,ok,
biometric,"D: 4, N: 512",mp_spdz,9,2026-04-22T12:03:41Z,0.201695,ok,
biometric,"D: 4, N: 512",mp_spdz,10,2026-04-22T12:03:41Z,0.215471,ok,
biometric,"D: 4, N: 1024",motion,1,2026-04-22T12:03:41Z,0.206825,ok,
biometric,"D: 4, N: 1024",motion,2,2026-04-22T12:03:42Z,0.201848,ok,
biometric,"D: 4, N: 1024",motion,3,2026-04-22T12:03:42Z,0.223550,ok,
biometric,"D: 4, N: 1024",motion,4,2026-04-22T12:03:42Z,0.214810,ok,
biometric,"D: 4, N: 1024",motion,5,2026-04-22T12:03:42Z,0.202153,ok,
biometric,"D: 4, N: 1024",motion,6,2026-04-22T12:03:43Z,0.201415,ok,
biometric,"D: 4, N: 1024",motion,7,2026-04-22T12:03:43Z,0.216650,ok,
